t_us,t_s,x_m,y_m,yaw_rad,vx_body_m_s,vy_body_m_s,yaw_rate_rad_s,line_position_m,line_error_m,line_visible,line_confidence,pwm_left,pwm_right,motor_current_left_a,motor_current_right_a,motor_torque_left_nm,motor_torque_right_nm,wheel_force_left_n,wheel_force_right_n,desired_wheel_force_left_n,desired_wheel_force_right_n,slip_left,slip_right,normal_left_n,normal_right_n,battery_voltage_v,sensor_00_adc,sensor_01_adc,sensor_02_adc,sensor_03_adc,sensor_04_adc,sensor_05_adc,sensor_06_adc,sensor_07_adc,sensor_08_adc,sensor_09_adc,sensor_10_adc,sensor_11_adc,sensor_12_adc,sensor_13_adc,sensor_14_adc,sensor_15_adc
34000,0.034000000,0.000658404,0.034993759,-0.019174184,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
35000,0.035000000,0.000679184,0.034993357,-0.019777025,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
36000,0.036000000,0.000699964,0.034992943,-0.020379866,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
37000,0.037000000,0.000720743,0.034992516,-0.020982707,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
38000,0.038000000,0.000741522,0.034992077,-0.021585548,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
39000,0.039000000,0.000762301,0.034991625,-0.022188389,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
40000,0.040000000,0.000783079,0.034991161,-0.022791230,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
41000,0.041000000,0.000803858,0.034990684,-0.023394071,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
42000,0.042000000,0.000824635,0.034990195,-0.023996912,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
43000,0.043000000,0.000845413,0.034989693,-0.024599753,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
44000,0.044000000,0.000866190,0.034989179,-0.025202594,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
45000,0.045000000,0.000886967,0.034988652,-0.025805435,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
46000,0.046000000,0.000907744,0.034988112,-0.026408276,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
47000,0.047000000,0.000928520,0.034987560,-0.027011117,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
48000,0.048000000,0.000949296,0.034986996,-0.027613958,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
49000,0.049000000,0.000970072,0.034986419,-0.028216799,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
